,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
51,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
52,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
53,DIGITEK,"10,995","₹6,299",,24,Yes,42,3.6
54,Panasonic,"74,660","₹47,990",Mirrorless Camera,16,Yes,35,4.4
55,IZI,"16,999","₹8,799",,48,Yes,48,3.6
56,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
57,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
58,SONY,"1,42,990","₹1,25,989",Mirrorless Camera,24,Yes,11,4.6
59,SONY,"1,61,490","₹1,38,989",Mirrorless Camera,24,Yes,13,4.6
60,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
61,MUGO,"16,999","₹2,182",,,No,87,3.7
62,FUJIFILM,"22,990","₹18,999",,,No,17,4.6
63,SONY,"59,490","₹52,488",Mirrorless Camera,24,Yes,11,4.5
64,DRONE,"9,999","₹2,299",Dual Camera,,No,77,3.1
65,Drone,"9,999","₹2,999",,,No,70,
66,NIKON,"73,495","₹63,999",Mirrorless Camera,20,Yes,12,4.3
67,FUJIFILM,"1,84,999","₹1,39,990",Mirrorless Camera,26,Yes,24,4.4
68,GoPro,"49,990","₹42,990",,27,No,14,3.9
69,NIKON,"1,76,995","₹1,41,999",Mirrorless Camera,25,Yes,19,5
70,Insta360,"64,990","₹45,979",,72,No,29,4.3
71,Elevea,"9,500","₹1,619",Action Camera,16,Yes,82,4
72,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
73,SONY,"90,990","₹73,998",Mirrorless Camera,24,Yes,18,4.6
74,dji,"44,990","₹35,990",,16,No,20,4.4
75,Qiwa,"4,000","₹1,619",Action Camera,12,No,59,4.3
76,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
77,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
78,HomeEye,"2,899",₹718,Magnet CameraHidden Camera,,Yes,75,
79,dji,"74,99","₹69,990",,64,No,06,4.1
80,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
81,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
82,dji,"59,990","₹49,990",,64,No,16,4.7
83,Insta360,"65,990","₹46,979",,72,No,28,4.4
84,Fourbrother,"19,999","₹2,099",,,No,89,3.2
85,SONY,"69,990","₹61,489",Mirrorless Camera,24,Yes,12,4.5
86,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
87,EDENGLOW,"19,999","₹3,999",,,No,80,
88,TechKing,"10,000","₹1,619",Action Camera,16,No,83,3.5
89,SONY,"1,36,990","₹1,21,489",Mirrorless Camera,27,Yes,11,
90,DIGITEK,"14,995","₹8,998",,48,Yes,39,3.5
91,SONY,"75,990","₹61,488",Mirrorless Camera,24,Yes,19,4.5
92,FUJIFILM,"7,999","₹5,998",,,No,25,4.2
93,Canon,"3,43,995","₹2,59,990",Mirrorless Camera,24,Yes,24,4.5
94,SONY,"64,990","₹51,989",Mirrorless Camera,24,Yes,20,4.6
95,FUJIFILM,"22,999","₹18,999",,,No,17,4.6
96,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
97,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
98,HODOPHILE,"9,999","₹1,960",,,No,80,3
99,SONY,"2,47,990","₹1,94,487",Mirrorless Camera,33,Yes,21,4.5
100,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
101,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
102,Elevea,"7,000","₹1,699",,16,No,75,4.8
103,spectre,"19,499","₹3,299",,,No,83,3.1
104,Insta360,"44,999","₹31,479",,9,No,30,4.2
105,Canon,"1,24,995","₹99,999",DSLR Camera,20,Yes,19,4.1
106,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
107,Digiwins,"9,999","₹5,599",HD Camera,,Yes,44,3.4
108,Bzrqx,"2,999",₹672,,12,Yes,77,3.3
109,MUGO,"16,999","₹2,528",,,No,85,3.8
110,Drone,"9,999","₹2,999",HD Camera,,Yes,70,
111,Panasonic,"94,990","₹69,990",Mirrorless Camera,16,Yes,26,3.7
112,Bzrqx,"2,999",₹687,,12,Yes,77,3.6
113,NIKON,"73,495","₹63,999",Mirrorless Camera,20,Yes,12,4.3
114,FUJIFILM,,,,,No,,4.2
115,AIElectro,"14,999","₹3,363",,,No,77,3.5
116,SONY,"1,72,990","₹1,53,989",Mirrorless Camera,27,Yes,10,
117,SIOVS,"2,999",₹699,Video Camera,12,Yes,76,3.4
118,MUGO,"16,999","₹2,627",,,No,84,2.9
119,SONY,"1,46,990","₹1,27,488",Mirrorless Camera,24,Yes,13,4.4
120,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
121,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
122,Wincomm,"3,999","₹1,599",Action Camera,12,No,60,
123,SONY,"59,490","₹52,489",Mirrorless Camera,24,Yes,11,4.5
124,HomeEye,"3,999",₹833,Magnetic CameraSecurity CameraSurveillance Camera,2,No,79,3.3
125,SONY,"1,16,490","₹88,488",Mirrorless Camera,24,Yes,24,4.7
126,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
127,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
128,CASON,"12,995","₹7,295",Action CameraSports Camera,24,No,43,3.8
129,TOTAL,"15,999","₹6,999",,56,No,56,
130,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
131,dji,"34,999","₹22,990",,12,No,34,4.4
132,IC,"1,200",₹724,,,No,39,3.5
133,Akaso,"16,999","₹4,999",,20,No,70,4.1
134,Fujifilm,"9,499","₹7,499",,,No,21,
135,SONY,"80,490","₹65,487",Mirrorless Camera,24,Yes,18,4.5
136,MUGO,"16,999","₹2,186",WiFi Camera,,Yes,87,
137,Insta360,"70,990","₹54,490",,72,No,23,
138,Cubonic,"4,999","₹1,959",Action Camera,16,Yes,60,3.4
